,Index,Make,Model,Variant,Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Wheelbase,Wheels_Size,12v_Power_Outlet,Audiosystem,Boot-lid_Opener,Boot_Space,Central_Locking,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Multifunction_Display,Sun_Visor,Ventilation_System,Engine_Immobilizer,ABS_(Anti-lock_Braking_System),Adjustable_Headrests,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Number_of_Airbags,Adjustable_Steering_Column,Type,Child_Safety_Locks
0,0,Tata,Nano Genx,Xt,292667,624 cc,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,23.6,4,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,Only Front Windows,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,2230 mm,4 B X 12,Yes,CD Player with USB & Aux-in,Internal,110.0,Yes,Digital,Front,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,,,,,,,,,,4,0
2,2,Tata,Nano Genx,Emax Xm,296661,624 cc,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15.0,CNG,1652 mm,3164 mm,1750 mm,Hatchback,4.0,,4,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,2230 mm,4 B X 12,Yes,Not on offer,Internal,110.0,,Digital,Front,Yes,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Air Conditioning with cooling only,,,,,,,,,,4,0
3,3,Tata,Nano Genx,Xta,334768,624 cc,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,21.9,5,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,Only Front Windows,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,2230 mm,4 B X 12,Yes,CD Player with USB & Aux-in,Internal,94.0,Yes,Digital,Front,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,,,,,,,,,,1,0
4,4,Tata,Nano Genx,Xm,272223,624 cc,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,23.6,4,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,2230 mm,4 B X 12,Yes,Not on offer,Internal,110.0,,Digital,Front,Yes,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Air Conditioning with cooling only,,,,,,,,,,4,0
5,5,Tata,Nano Genx,Xma,314815,624 cc,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24.0,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,21.9,5,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",135/70R12,155/65R12,Electric Power,,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,2230 mm,4 B X 12,Yes,Not on offer,Internal,94.0,,Digital,Not on offer,Yes,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Air Conditioning with cooling only,,,,,Yes,,,,,1,0
6,6,Datsun,Redi-Go,D,279650,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,25.17,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,,,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,2348 mm,80/155R13,Yes,Not on offer,Internal,222.0,,,Not on offer,Yes,,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Yes,Yes,Yes,,,,,,,,4,0
7,7,Datsun,Redi-Go,T,351832,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,25.17,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,Only Front Windows,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,2348 mm,80/155R13,Yes,CD Player with USB & Aux-in,Internal,222.0,Yes,,Front,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,,,,,,,,,4,0
8,8,Datsun,Redi-Go,A,333419,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,25.17,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,2348 mm,80/155R13,Yes,Not on offer,Internal,222.0,,,Front,Yes,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,,,,,,,,,4,0
9,9,Datsun,Redi-Go,S,362000,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,25.17,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,2348 mm,80/155R13,Yes,CD Player with USB & Aux-in,"With Remote, Internal",222.0,,,Not on offer,Yes,,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,,,,,,,,,4,0
10,10,Datsun,Redi-Go,1.0 S,390000,999 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28.0,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,22.5,5,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Digital,Yes,5.0,Fabric,2348 mm,80/155R13,Yes,CD Player with USB & Aux-in,"With Remote, Internal",222.0,,,Front,Yes,Yes,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Air Conditioning with cooling only,Yes,,,,,,,,,4,0
